,title,signed_on,url,summary,categories,tags
0,"Executive Order No. 5, s. 2022","September 16, 2022",https://www.officialgazette.gov.ph/2022/09/16/executive-order-no-5-s-2022/,TRANSFERRING THE ATTACHMENT OF THE TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY FROM THE DEPARTMENT OF TRADE AND INDUSTRY TO THE DEPARTMENT OF LABOR AND EMPLOYMENT,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Ferdinand R. Marcos Jr.']"
1,"Executive Order No. 4, s. 2022","September 13, 2022",https://www.officialgazette.gov.ph/2022/09/13/executive-order-no-4-s-2022/,DIRECTING THE IMPLEMENTATION OF A MORATORIUM ON THE PAYMENT OF THE PRINCIPAL OBLIGATION AND INTEREST OF THE AMORTIZATION DUE AND PAYABLE BY AGRARIAN REFORM BENEFICIARIES,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Ferdinand R. Marcos Jr.']"
2,"Executive Order No. 3, s. 2022","September 12, 2022",https://www.officialgazette.gov.ph/2022/09/12/executive-order-no-3-s-2022/,ALLOWING VOLUNTARY WEARING OF FACEMASKS IN OUTDOOR SETTINGS AND REITERATING THE CONTINUED IMPLEMENTATION OF MINIMUM PUBLIC HEALTH STANDARDS DURING THE STATE OF PUBLIC HEALTH EMERGENCY RELATIVE TO THE COVID-19 PANDEMIC,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Ferdinand R. Marcos Jr.']"
3,"Executive Order No. 2, s. 2022","June 30, 2022",https://www.officialgazette.gov.ph/2022/06/30/executive-order-no-2-s-2022/,"REORGANIZING AND RENAMING THE PRESIDENTIAL COMMUNICATIONS OPERATIONS OFFICE AND ITS ATTACHED AGENCIES INTO THE OFFICE OF THE PRESS SECRETARY, ABOLISHING THE OFFICE OF THE PRESIDENTIAL SPOKESPERSON, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Ferdinand R. Marcos Jr.']"
4,"Executive Order No. 1, s. 2022","June 30, 2022",https://www.officialgazette.gov.ph/2022/06/30/executive-order-no-1-s-2022/,"REORGANIZING THE OFFICE OF THE PRESIDENT INCLUDING THE IMMEDIATE OFFICES AND AGENCIES UNDER OR ATTACHED TO IT, AND THE COMMON STAFF SUPPORT SYSTEM; ABOLISHING THE PRESIDENTIAL ANTI CORRUPTION COMMISSION AND THE OFFICE OF THE CABINET SECRETARY","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Ferdinand R. Marcos Jr.']"
5,"Executive Order No. 176, s. 2022","June 28, 2022",https://www.officialgazette.gov.ph/2022/06/28/executive-order-no-176-s-2022/,REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD-OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
6,"Executive Order No. 175, s. 2022","June 27, 2022",https://www.officialgazette.gov.ph/2022/06/27/executive-order-no-175-s-2022/,PROMULGATING THE TWELFTH REGULAR FOREIGN INVESTMENT NEGATIVE LIST,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
7,"Executive Order No. 174, s. 2022","June 23, 2022",https://www.officialgazette.gov.ph/2022/06/23/executive-order-no-174-s-2022/,ESTABLISHING THE EXPANDED CAREER PROGRESSION SYSTEM FOR PUBLIC SCHOOL TEACHERS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
8,"Executive Order No. 173, s. 2022","June 10, 2022",https://www.officialgazette.gov.ph/2022/06/10/executive-order-no-173-s-2022/,"DIRECTING THE ABOLITION OF THE MUNICIPAL DEVELOPMENT FUND OFFICE, TRANSFERRING ITS ASSETS, LIABILITIES AND OBLIGATIONS TO THE DEPARTMENT OF FINANCE, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
9,"Executive Order No. 172, s. 2022","June 2, 2022",https://www.officialgazette.gov.ph/2022/06/02/executive-order-no-172-s-2022/,MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 172 APPROVING THE COCONUT FARMERS AND INDUSTRY DEVELOPMENT PLAN,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
10,"Executive Order No. 171, s. 2022","May 21, 2022",https://www.officialgazette.gov.ph/2022/05/21/executive-order-no-171-s-2022/,"TEMPORARY MODIFYING THE RATES OF IMPORT DUTY ON VARIOUS PRODUCTS UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
11,"Executive Order No. 170, s. 2022","May 12, 2022",https://www.officialgazette.gov.ph/2022/05/12/executive-order-no-170-s-2022/,ADOPTION OF DIGITAL PAYMENTS FOR GOVERNMENT DISBURSEMENTS AND COLLECTIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
12,"Executive Order No. 169, s. 2022","May 12, 2022",https://www.officialgazette.gov.ph/2022/05/12/executive-order-no-169-s-2022/,"STRENGTHENING THE FRANCHISING INDUSTRY FOR THE PROTECTION OF MICRO, SMALL AND MEDIUM ENTERPRISES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
13,"Executive Order No. 168, s. 2022","April 25, 2022",https://www.officialgazette.gov.ph/2022/04/25/executive-order-no-168-s-2022/,TRANSFERRING THE NATIONAL IRRIGATION ADMINISTRATION FROM THE OFFICE OF THE PRESIDENT TO THE DEPARTMENT OF AGRICULTURE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
14,"Executive Order No. 167, s. 2022","April 6, 2022",https://www.officialgazette.gov.ph/2022/04/06/executive-order-no-167-s-2022/,"STRENGTHENING THE PHILIPPINE COMMISSION ON WOMEN, FURTHER AMENDING EXECUTIVE ORDER NO. 208 (S. 1994), AS AMENDED, FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
